ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
RDOR3,"R$ 0,18463906",18/12/2023,28/12/2023,JCP,"0,65%"
CMIG4,"R$ 0,08020815",24/06/2022,29/12/2023,JCP,"0,75%"
CMIG4,"R$ 0,10714014",23/09/2022,30/12/2023,JCP,"0,91%"
CMIG4,"R$ 0,09057091",21/12/2022,30/12/2023,JCP,"0,83%"
CMIG4,"R$ 0,11713435",27/12/2022,30/12/2023,JCP,"1,07%"
BBDC3,"R$ 0,17899724",21/12/2023,02/01/2024,JCP,"1,15%"
BBDC4,"R$ 0,19689696",21/12/2023,02/01/2024,JCP,"1,13%"
ITSA4,"R$ 0,02352950",30/11/2023,02/01/2024,JCP,"0,24%"
ITUB4,"R$ 0,01765000",30/11/2023,02/01/2024,JCP,"0,06%"
DIRR3,"R$ 0,15666667",05/12/2023,03/01/2024,Dividendo,"0,81%"
POMO4,"R$ 0,10000000",21/12/2023,03/01/2024,JCP,"1,39%"
LREN3,"R$ 0,17969000",26/09/2023,05/01/2024,JCP,"1,33%"
LREN3,"R$ 0,17154400",20/12/2023,05/01/2024,JCP,"0,99%"
STBP3,"R$ 0,04560297",22/12/2023,05/01/2024,Dividendo,"0,48%"
B3SA3,"R$ 0,05953824",28/12/2023,08/01/2024,JCP,"0,41%"
B3SA3,"R$ 0,04098098",28/12/2023,08/01/2024,Dividendo,"0,28%"
STBP3,"R$ 0,03822727",22/12/2023,08/01/2024,JCP,"0,40%"
SUZB3,"R$ 1,16337508",07/12/2023,10/01/2024,JCP,"2,33%"
SLCE3,"R$ 0,05452741",27/12/2023,11/01/2024,JCP,"0,29%"
ENGI11,"R$ 1,00000000",28/12/2023,12/01/2024,Dividendo,"1,86%"
ISAE4,"R$ 0,24283600",13/12/2023,15/01/2024,JCP,"0,93%"
TAEE11,"R$ 0,66184008",03/01/2024,16/01/2024,Dividendo,"1,73%"
TIMS3,"R$ 0,27059418",21/12/2023,23/01/2024,JCP,"1,52%"
BBDC3,"R$ 0,01724983",02/01/2024,01/02/2024,JCP,"0,11%"
BBDC4,"R$ 0,01897481",02/01/2024,01/02/2024,JCP,"0,11%"
