ATIVO,VALOR,DATA COM,DATA PAGAMENTO,TIPO,DY
BBDC4,"R$ 0,01897481",03/11/2025,01/12/2025,JCP,"0,00%"
ITUB4,"R$ 0,01765000",31/10/2025,01/12/2025,JCP,"0,00%"
RADL3,"R$ 0,06894335",03/04/2025,01/12/2025,JCP,"0,35%"
RADL3,"R$ 0,07694087",03/07/2025,05/12/2025,JCP,"0,51%"
PETR3,"R$ 0,13504029",21/08/2025,22/12/2025,JCP,"0,41%"
PETR3,"R$ 0,20092175",21/08/2025,22/12/2025,Dividendo,"0,62%"
PETR4,"R$ 0,20092175",21/08/2025,22/12/2025,Dividendo,"0,66%"
PETR4,"R$ 0,13504029",21/08/2025,22/12/2025,JCP,"0,45%"
EGIE3,"R$ 0,87648135",06/05/2025,23/12/2025,Dividendo,"2,15%"
CMIG4,"R$ 0,07510604",21/06/2024,30/12/2025,JCP,"0,71%"
CMIG4,"R$ 0,08778000",26/03/2024,30/12/2025,JCP,"0,71%"
CMIG4,"R$ 0,32940590",30/04/2025,30/12/2025,Dividendo,"3,20%"
CMIG4,"R$ 0,09790376",23/12/2024,30/12/2025,JCP,"0,87%"
HYPE3,"R$ 0,09735000",23/05/2024,31/12/2025,JCP,"0,32%"
HYPE3,"R$ 0,09767000",21/06/2024,31/12/2025,JCP,"0,34%"
HYPE3,"R$ 0,09767000",24/07/2024,31/12/2025,JCP,"0,35%"
PSSA3,"R$ 0,47889395",28/03/2025,31/12/2025,Dividendo,"1,20%"
